,Open,High,Low,Close,Volume
1999-09-22,2.1319103240966797,2.1319103240966797,2.0822363480755883,2.1319103240966797,288000
1999-09-23,2.1366732636320487,2.1570872271770196,2.068626588692918,2.0965261459350586,726000
1999-09-24,2.082236545651603,2.245549257889428,2.082236545651603,2.229218006134033,720000
1999-09-27,2.2455495272080737,2.347619960262986,2.193833306395137,2.221052646636963,1038000
1999-09-28,2.1448385913224417,2.1890693911562913,2.0835963197906,2.1012887954711914,1062000
1999-09-29,2.150282758610606,2.2693646303603305,2.150282758610606,2.265281915664673,942000
1999-09-30,2.2047201831836043,2.2455482950662313,2.2047201831836043,2.21764874458313,732000
1999-10-01,2.204720467163769,2.2782110780184945,2.204720467163769,2.244187355041504,852000
1999-10-04,2.177502312817611,2.245549795473953,2.177502312817611,2.1781833171844482,486000
1999-10-05,2.1434791777656512,2.299986545254121,2.1434791777656512,2.255075693130493,1104000
1999-10-06,2.3816420960015567,2.436079978942871,2.3802816453718,2.436079978942871,726000
1999-10-07,2.5857832724986176,2.631375312805176,2.5857832724986176,2.631375312805176,204000
1999-10-08,2.842319965362549,2.842319965362549,2.6613148220773977,2.842319965362549,3942000
1999-10-11,3.0076746483110046,3.0702781677246094,2.944391098131266,3.0702781677246094,1104000
1999-10-12,3.2798620807055747,3.315927267074585,3.170987269586444,3.315927267074585,1086000
1999-10-13,3.5785885045868273,3.5813097953796387,3.402346281008945,3.5813097953796387,504000
1999-10-14,3.8677878379821777,3.8677878379821777,3.8677878379821777,3.8677878379821777,168000
1999-10-15,4.177400823690462,4.177400823690462,3.783409405131683,4.003881454467773,3882000
1999-10-18,4.265182545874363,4.320980895476292,3.893646253466153,4.059680461883545,3570000
1999-10-19,4.059680461883545,4.059680461883545,4.059680461883545,4.059680461883545,0
1999-10-20,4.355003621124281,4.384944438934326,4.354323395771673,4.384944438934326,1218000
1999-10-21,4.557782786689909,4.613581897048537,4.192370588451698,4.29103946685791,2640000
