,mean_ic,t_stat
2011-06-30,0.12026975768517938,2.721630401463044
2011-09-30,0.10645906473021728,2.3654841411721543
2011-12-31,0.09999587410147037,2.153929787995881
2012-03-31,0.10598768209361148,2.3930239945593796
2012-06-30,0.10826699601793983,2.3986025074858515
2012-09-30,0.09329497586826034,2.2542686040186295
2012-12-31,0.08745629149804145,2.066548539113412
2013-03-31,0.0978082535488709,2.4220332899532093
2013-06-30,0.07479579921563044,1.976478212010685
2013-09-30,0.08163393490397709,2.205927839590628
2013-12-31,0.07988495330267482,2.1462519877193067
2014-03-31,0.07251910263513639,1.9518433415487182
2014-06-30,0.02060547282066269,0.5360337007175602
2014-09-30,0.042936396311923745,0.9852863382152925
2014-12-31,0.06519317922271509,1.4453720194733626
2015-03-31,0.06039615564932021,1.3030960555761153
2015-06-30,0.04991600250039069,1.1783314493039427
2015-09-30,0.03700773558368495,0.8789658897079563
2015-12-31,0.04868338802937958,1.1501593940433195
2016-03-31,0.04488787310517268,1.0605018027169244
2016-06-30,0.06179481168932644,1.407977721136653
2016-09-30,0.050524472192682544,1.118980832653547
2016-12-31,0.0744011998734191,1.4947323433710789
2017-03-31,0.07640629927345483,1.5381498222564556
2017-06-30,0.11400632546308177,2.9660409625526567
2017-09-30,0.10452627815577607,2.899897962699707
2017-12-31,0.08230677831555507,2.2636246958952317
2018-03-31,0.08011975456199626,2.142879157484217
2018-06-30,0.06412456397821252,1.7327876889267062
2018-09-30,0.08420510668930582,2.212562185688522
2018-12-31,0.07099926443450558,1.8136403810955923
2019-03-31,0.0649789121096892,1.6143509938792564
2019-06-30,0.06529659225181673,1.6183432627663876
2019-09-30,0.08650606263115102,2.1831324119639626
2019-12-31,0.05737686811946186,1.6216984780947032
2020-03-31,0.05850650228427869,1.6524612398660705
2020-06-30,0.05474085113523262,1.5886521994696885
2020-09-30,0.0346572860232392,0.991518515582952
2020-12-31,0.04565171902811981,1.3276865151894153
2021-03-31,0.06591100053949558,2.113085811243486
2021-06-30,0.0648466609124667,2.0614406617450127
2021-09-30,0.06988204910523312,2.0575645294425433
2021-12-31,0.1044574236319748,2.549150206460014
2022-03-31,0.08942561821680457,1.8557034461948336
2022-06-30,0.09966717208830451,1.9406859252170727
2022-09-30,0.08748518338838453,1.7190683660661907
2022-12-31,0.07981394343826988,1.5002287053480046
2023-03-31,0.10182446972294938,1.7755435313108205
2023-06-30,0.10534884450540037,1.8284071359157632
2023-09-30,0.1314888703025597,2.3626343389064366
2023-12-31,0.15705872721918204,2.639220513342409
2024-03-31,0.16181848620897774,2.722658834670923
2024-06-30,0.14290710494268558,2.1212224297360525
2024-09-30,0.12632617015994727,1.9021991351710155
2024-12-31,0.06630914655029768,0.9139755578075887
2025-03-31,0.08827270244010708,1.3059971097656666
2025-06-30,0.049459811516068077,0.7454500995190285
2025-09-30,0.025644798894032636,0.36260967340930406
2025-12-31,0.0347181107871047,0.5001036181246961
2026-03-31,0.008139566103394993,0.12769775532972913
