universe,n_tickers,ic_mean,ic_tstat,n_periods,cagr_pct,sharpe,max_drawdown_pct,win_rate_pct,nifty_cagr_pct
Current Nifty100 ONLY (no delisted),100,0.04166058108152081,1.7522021885955967,75,13.584143738821354,0.4742325197267418,-57.46810987610369,54.088184931506845,9.220133337936653
Full universe (with 10 delisted),110,0.07769587878504235,2.92403749757016,75,14.946234576979233,0.5326177318311139,-58.67074684123621,54.109589041095894,9.220133337936653
