group,variant,cagr_pct,sharpe,max_drawdown_pct,ic_mean,ic_tstat
HYSTERESIS_BUFFER,buffer=3,16.5083099897442,0.6046520774664713,-54.81791121136466,0.07714961318494062,2.9417269250429854
HYSTERESIS_BUFFER,buffer=5 (baseline),14.946234576979233,0.5326177318311139,-58.67074684123621,0.07714961318494062,2.9417269250429854
HYSTERESIS_BUFFER,buffer=7,16.156121221968966,0.5876059748526059,-59.37230636226064,0.07714961318494062,2.9417269250429854
HYSTERESIS_BUFFER,buffer=10,15.334615062358026,0.5539372049181399,-60.23086260362035,0.07714961318494062,2.9417269250429854
TOP_N,top_n=7,15.73707060970495,0.5555261995084464,-59.30209240128068,0.07714961318494062,2.9417269250429854
TOP_N,top_n=10 (baseline),14.946234576979233,0.5326177318311139,-58.67074684123621,0.07714961318494062,2.9417269250429854
TOP_N,top_n=13,15.784075598913239,0.5809388509189147,-56.09650541438007,0.07714961318494062,2.9417269250429854
MOMENTUM_SKIP,skip=15,16.172092595660747,0.5848904810625083,-55.842182654335616,0.07508535713669129,2.877325738068046
MOMENTUM_SKIP,skip=21 (baseline),14.946234576979233,0.5326177318311139,-58.67074684123621,0.07714961318494062,2.9417269250429854
MOMENTUM_SKIP,skip=25,16.90719348881855,0.6238065883583686,-56.77157886242797,0.0774646471167312,2.927167847724613
