factor,n_months,mean_ic,std_ic,t_stat,ir_monthly,pct_months_positive
Rank_M,116,-0.00837206237045447,0.2294755095394652,-0.39293897401938466,-0.03648346783173672,50.0
Rank_V,116,0.06511967977520762,0.2565174368099037,2.73416273091169,0.253860636473869,59.48275862068966
Rank_VC,116,0.034715540049279875,0.14723559987574592,2.539452478773056,0.23578224341515763,62.93103448275862
Total_Rank,116,0.04881766792520807,0.20043352168626555,2.623225746526647,0.2435603960580075,62.06896551724138
