,mean_ic,t_stat
2000-03-31,0.08322346130809781,1.1017012321169406
2000-06-30,0.06774966413372567,0.8936882451960151
2000-09-30,0.06221667581878249,0.784065886643732
2000-12-31,0.017999505697145302,0.22367924274887038
2001-03-31,0.036780750252383664,0.43424415504318287
2001-06-30,0.029994028190765392,0.35196685319940324
2001-09-30,0.036430137815963715,0.42843794149805225
2001-12-31,0.039463376692871026,0.46508720964639855
2002-03-31,0.04889366521553864,0.5823992183322277
2002-06-30,0.03323766441245818,0.4255131892711384
2002-09-30,-0.013970517229030406,-0.21992431160085774
2002-12-31,0.005595356152106136,0.08263504577104941
2003-03-31,-0.003088223835271693,-0.04536902903529682
2003-06-30,0.023048897367812942,0.32024196195200255
2003-09-30,0.09044973805903189,1.6154786129643193
2003-12-31,0.12153813919995848,2.5962673332145965
2004-03-31,0.09557709396100578,2.2452890634003677
2004-06-30,0.08001161864172873,1.5853035683162273
2004-09-30,0.09971701439593454,1.8817222751456693
2004-12-31,0.09961816860996237,1.879261017767561
2005-03-31,0.09332416402185167,1.718348725881185
2005-06-30,0.0786370845997764,1.5224738198470977
2005-09-30,0.10933495885514799,2.000297176263828
2005-12-31,0.09786602524181444,1.8531444394440453
2006-03-31,0.08796295682991967,1.5525197726175908
2006-06-30,0.0461963284035234,0.7828593755482968
2006-09-30,0.029281065758792458,0.53411770029112
2006-12-31,0.021293823117462904,0.39343604462978227
2007-03-31,0.021930571797767192,0.40507786949955327
2007-06-30,0.06016965337008756,1.2293534310648797
2007-09-30,0.02532123176675712,0.5384707087743219
2007-12-31,0.014266895644744024,0.292168219436183
2008-03-31,0.0282693324656622,0.5790967538130913
2008-06-30,0.0040892417018298655,0.07962519759233845
2008-09-30,-0.016430845911488787,-0.3849182274207273
2008-12-31,-0.025600691253260328,-0.6279665084467686
2009-03-31,0.0007557149806329497,0.019390477059508665
2009-06-30,0.01937957072059782,0.5789434484382966
2009-09-30,0.03130893809371624,0.8312205256128425
2009-12-31,0.023178701599170987,0.6010597284579484
2010-03-31,0.01355283121337969,0.34436365241000594
2010-06-30,0.0012202619893178703,0.03387530842617108
2010-09-30,0.007563336110831539,0.2203532524220981
2010-12-31,0.04617813305902021,1.1251429840787013
2011-03-31,0.03829739983757297,0.9392147928269934
2011-06-30,0.030395703059091464,0.6715795779972263
2011-09-30,0.01747069688167609,0.38332371166686247
2011-12-31,0.031844732161938206,0.6653801946964022
2012-03-31,0.017833233611892582,0.37406609476372943
2012-06-30,0.021625168986786417,0.4531123939811545
2012-09-30,0.021869143594521082,0.45727191010245716
2012-12-31,0.03299528242337222,0.6987641478777517
2013-03-31,0.07022273348720132,1.3070225256985255
2013-06-30,0.10181711282648555,1.6643032847990487
2013-09-30,0.10424540286640209,1.7192352984220998
2013-12-31,0.09168254362114503,1.591847089967821
2014-03-31,0.09734500667446451,1.7035369130471156
2014-06-30,0.12710815343269047,2.773372811193332
2014-09-30,0.14224381892886084,3.3540461224138247
2014-12-31,0.1327092692220818,3.1259503635388746
2015-03-31,0.15886627708212772,3.963270353835573
2015-06-30,0.13663170156556678,2.7096067519362728
2015-09-30,0.11667580408185584,2.299068715441866
2015-12-31,0.07906395165988361,1.2003472284560062
2016-03-31,0.05230527255471332,0.8682380270775757
2016-06-30,0.026944724589626518,0.5329880721137072
2016-09-30,0.025656515469788293,0.5059774121646275
2016-12-31,0.02745009413316053,0.5358008116006929
2017-03-31,0.021680002121229187,0.42478211959980766
2017-06-30,0.030041607198965415,0.5721736023978716
2017-09-30,-0.005126475180727075,-0.0873374070496334
2017-12-31,0.010693231517523315,0.17046530515061586
2018-03-31,-0.011687197723982736,-0.19999662178006258
2018-06-30,0.01577722894078203,0.281416842732577
2018-09-30,-0.012097784954190042,-0.19102364521195284
2018-12-31,0.02124838522960373,0.39744607080080885
2019-03-31,0.010995177572725301,0.20389352980685455
2019-06-30,-0.00882841508696501,-0.16373868205679076
2019-09-30,0.02851493444210082,0.4486628167259301
2019-12-31,0.0185291759045238,0.29959789393780956
2020-03-31,0.03114977346191083,0.4948709254022608
2020-06-30,0.0031029270350700633,0.04899690729678948
2020-09-30,0.042855394900190046,0.7398894582347272
2020-12-31,0.01632464929733961,0.29939364503782057
2021-03-31,0.008273453223958362,0.14927234772581485
2021-06-30,-0.0027626772977875982,-0.050567664199248775
2021-09-30,0.025985813610243113,0.5716785312361399
2021-12-31,0.011202300905670851,0.23280091856710913
2022-03-31,0.00645899323001244,0.1315738422406244
2022-06-30,0.0173177679540886,0.3624568388116857
2022-09-30,-0.003832537898593153,-0.10813952984602743
2022-12-31,-0.01999406995973684,-0.561900299740956
2023-03-31,-0.03208026392883654,-1.0064335419269554
2023-06-30,-0.019689675485582266,-0.6637804547761116
2023-09-30,-0.00294471355741778,-0.07059079159422556
2023-12-31,0.023304968944393396,0.4965773789977726
2024-03-31,0.038094946365882516,0.8352672083684499
2024-06-30,0.034141175226294666,0.7384555251068934
2024-09-30,0.03817194947736801,0.8261509004603945
2024-12-31,0.02049042352227899,0.3683881157286482
2025-03-31,0.07483071426112192,1.1070112080939687
2025-06-30,0.09251515255469107,1.3520171729873744
2025-09-30,0.0855092223475259,1.2523267238010203
2025-12-31,0.10888759255796969,1.6475736274215282
2026-03-31,0.14985367583681738,2.04899998265707
